sale_unique_id,item_nbr,item_vendor,item_department,store_nbr,sales_date,sequence_nbr,item_category,sales_qty
100103010-10,100103,501,24,108,2026-08-20,10,,21
100103011-11,100103,501,29,116,2026-08-21,11,,59
100103012-12,100103,501,18,117,2026-08-22,12,,23
100103013-13,100103,501,28,113,2026-08-23,13,,41
100103014-14,100103,501,13,102,2026-08-24,14,,2
100103015-15,100103,501,22,109,2026-08-25,15,,47
100103016-16,100103,501,26,103,2026-08-26,16,,86
100103017-17,100103,501,17,120,2026-08-27,17,,30
100103018-18,100103,501,16,114,2026-08-28,18,,67
100103019-19,100103,501,10,106,2026-08-29,19,,49
100103020-20,100103,501,23,117,2026-08-30,20,,19
100103021-21,100103,501,11,112,2026-08-31,21,,4
100103022-22,100103,501,19,108,2026-09-01,22,,11
100103023-23,100103,501,14,102,2026-09-02,23,,64
100103024-24,100103,501,17,101,2026-09-03,24,,79
100103025-25,100103,501,18,119,2026-09-04,25,,22
100103026-26,100103,501,17,120,2026-09-05,26,,90
100103027-27,100103,501,16,103,2026-09-06,27,,84
100103028-28,100103,501,22,104,2026-09-07,28,,31
100103029-29,100103,501,27,119,2026-09-08,29,,62
100103030-30,100103,501,18,111,2026-09-09,30,,58
100104001-1,100104,501,15,115,2026-08-11,1,,96
100104002-2,100104,501,24,108,2026-08-12,2,,13
100104003-3,100104,501,16,118,2026-08-13,3,,76
100104004-4,100104,501,25,110,2026-08-14,4,,47
100104005-5,100104,501,27,102,2026-08-15,5,,84
100104006-6,100104,501,12,112,2026-08-16,6,,60
100104007-7,100104,501,20,119,2026-08-17,7,,37
100104008-8,100104,501,21,101,2026-08-18,8,,93
100104009-9,100104,501,29,113,2026-08-19,9,,86
100104010-10,100104,501,25,118,2026-08-20,10,,30
100104011-11,100104,501,18,119,2026-08-21,11,,28
100104012-12,100104,501,16,108,2026-08-22,12,,4
100104013-13,100104,501,13,102,2026-08-23,13,,1
100104014-14,100104,501,15,108,2026-08-24,14,,28
100104015-15,100104,501,12,115,2026-08-25,15,,38
100104016-16,100104,501,28,115,2026-08-26,16,,50
100104017-17,100104,501,17,105,2026-08-27,17,,59
100104018-18,100104,501,28,108,2026-08-28,18,,52
100104019-19,100104,501,25,119,2026-08-29,19,,77
100104020-20,100104,501,27,111,2026-08-30,20,,43
100104021-21,100104,501,11,109,2026-08-31,21,,58
100104022-22,100104,501,15,109,2026-09-01,22,,64
100104023-23,100104,501,17,113,2026-09-02,23,,46
100104024-24,100104,501,27,107,2026-09-03,24,,67
100104025-25,100104,501,10,110,2026-09-04,25,,5
100104026-26,100104,501,19,103,2026-09-05,26,,97
100104027-27,100104,501,18,109,2026-09-06,27,,67
100104028-28,100104,501,14,112,2026-09-07,28,,48
100104029-29,100104,501,15,120,2026-09-08,29,,39
100104030-30,100104,501,26,105,2026-09-09,30,,77
100105001-1,100105,501,13,101,2026-08-11,1,,68
100105002-2,100105,501,16,117,2026-08-12,2,,58
100105003-3,100105,501,24,117,2026-08-13,3,,79
100105004-4,100105,501,10,105,2026-08-14,4,,96
100105005-5,100105,501,13,104,2026-08-15,5,,4
100105006-6,100105,501,25,114,2026-08-16,6,,81
100105007-7,100105,501,27,108,2026-08-17,7,,37
100105008-8,100105,501,29,115,2026-08-18,8,,42
100105009-9,100105,501,10,106,2026-08-19,9,,19
100105010-10,100105,501,15,114,2026-08-20,10,,55
100105011-11,100105,501,18,107,2026-08-21,11,,27
100105012-12,100105,501,11,117,2026-08-22,12,,73
100105013-13,100105,501,25,112,2026-08-23,13,,64
100105014-14,100105,501,20,103,2026-08-24,14,,59
100105015-15,100105,501,17,101,2026-08-25,15,,80
100105016-16,100105,501,20,110,2026-08-26,16,,75
100105017-17,100105,501,22,101,2026-08-27,17,,78
100105018-18,100105,501,19,103,2026-08-28,18,,2
100105019-19,100105,501,24,108,2026-08-29,19,,22
100105020-20,100105,501,23,101,2026-08-30,20,,26
100105021-21,100105,501,19,110,2026-08-31,21,,34
100105022-22,100105,501,19,109,2026-09-01,22,,55
100105023-23,100105,501,26,118,2026-09-02,23,,26
100105024-24,100105,501,20,120,2026-09-03,24,,30
100105025-25,100105,501,25,115,2026-09-04,25,,91
100105026-26,100105,501,18,117,2026-09-05,26,,68
100105027-27,100105,501,22,114,2026-09-06,27,,43
100105028-28,100105,501,16,107,2026-09-07,28,,26
100105029-29,100105,501,12,115,2026-09-08,29,,5
100105030-30,100105,501,10,107,2026-09-09,30,,99
100106001-1,100106,501,24,118,2026-08-11,1,,42
100106002-2,100106,501,16,117,2026-08-12,2,,7
100106003-3,100106,501,27,118,2026-08-13,3,,28
100106004-4,100106,501,12,101,2026-08-14,4,,85
100106005-5,100106,501,24,119,2026-08-15,5,,36
100106006-6,100106,501,19,111,2026-08-16,6,,86
100106007-7,100106,501,11,114,2026-08-17,7,,3
100106008-8,100106,501,27,115,2026-08-18,8,,28
100106009-9,100106,501,14,117,2026-08-19,9,,44
100106010-10,100106,501,24,111,2026-08-20,10,,64
100106011-11,100106,501,27,119,2026-08-21,11,,35
100106012-12,100106,501,29,106,2026-08-22,12,,58
100106013-13,100106,501,27,109,2026-08-23,13,,11
100106014-14,100106,501,11,110,2026-08-24,14,,39
100106015-15,100106,501,28,105,2026-08-25,15,,75
100106016-16,100106,501,17,115,2026-08-26,16,,50
100106017-17,100106,501,13,101,2026-08-27,17,,58
100106018-18,100106,501,24,119,2026-08-28,18,,50
100106019-19,100106,501,10,108,2026-08-29,19,,19
100106020-20,100106,501,14,110,2026-08-30,20,,84
100106021-21,100106,501,16,117,2026-08-31,21,,76
100106022-22,100106,501,15,109,2026-09-01,22,,74
100106023-23,100106,501,18,106,2026-09-02,23,,13
100106024-24,100106,501,15,119,2026-09-03,24,,73
100106025-25,100106,501,27,115,2026-09-04,25,,50
100106026-26,100106,501,15,112,2026-09-05,26,,99
100106027-27,100106,501,25,113,2026-09-06,27,,62
100106028-28,100106,501,23,115,2026-09-07,28,,47
100106029-29,100106,501,25,101,2026-09-08,29,,27
100106030-30,100106,501,20,109,2026-09-09,30,,92
100107001-1,100107,501,14,101,2026-08-11,1,,81
100107002-2,100107,501,18,116,2026-08-12,2,,96
100107003-3,100107,501,16,111,2026-08-13,3,,98
100107004-4,100107,501,21,114,2026-08-14,4,,23
100107005-5,100107,501,17,110,2026-08-15,5,,14
100107006-6,100107,501,28,107,2026-08-16,6,,1
100107007-7,100107,501,27,105,2026-08-17,7,,100
100107008-8,100107,501,25,117,2026-08-18,8,,25
100107009-9,100107,501,13,116,2026-08-19,9,,73
100107010-10,100107,501,23,101,2026-08-20,10,,10
100107011-11,100107,501,18,101,2026-08-21,11,,3
100107012-12,100107,501,11,103,2026-08-22,12,,51
100107013-13,100107,501,28,120,2026-08-23,13,,42
100107014-14,100107,501,29,105,2026-08-24,14,,15
100107015-15,100107,501,22,105,2026-08-25,15,,43
100107016-16,100107,501,21,117,2026-08-26,16,,29
100107017-17,100107,501,15,102,2026-08-27,17,,36
100107018-18,100107,501,26,112,2026-08-28,18,,19
100107019-19,100107,501,16,112,2026-08-29,19,,100
100107020-20,100107,501,18,101,2026-08-30,20,,75
100107021-21,100107,501,20,104,2026-08-31,21,,50
100107022-22,100107,501,28,117,2026-09-01,22,,45
100107023-23,100107,501,10,108,2026-09-02,23,,5
100107024-24,100107,501,15,116,2026-09-03,24,,21
100107025-25,100107,501,23,106,2026-09-04,25,,42
100107026-26,100107,501,28,116,2026-09-05,26,,94
100107027-27,100107,501,22,115,2026-09-06,27,,53
100107028-28,100107,501,22,108,2026-09-07,28,,96
100107029-29,100107,501,12,106,2026-09-08,29,,80
100107030-30,100107,501,24,102,2026-09-09,30,,57
100108001-1,100108,501,16,106,2026-08-11,1,,91
100108002-2,100108,501,14,101,2026-08-12,2,,80
100108003-3,100108,501,28,102,2026-08-13,3,,97
100108004-4,100108,501,18,117,2026-08-14,4,,68
100108005-5,100108,501,21,104,2026-08-15,5,,65
100108006-6,100108,501,29,119,2026-08-16,6,,19
100108007-7,100108,501,19,116,2026-08-17,7,,48
100108008-8,100108,501,26,108,2026-08-18,8,,29
100108009-9,100108,501,28,118,2026-08-19,9,,9
100108010-10,100108,501,24,103,2026-08-20,10,,51
100108011-11,100108,501,27,103,2026-08-21,11,,91
100108012-12,100108,501,25,101,2026-08-22,12,,34
100108013-13,100108,501,16,120,2026-08-23,13,,81
100108014-14,100108,501,27,111,2026-08-24,14,,26
100108015-15,100108,501,17,119,2026-08-25,15,,12
100108016-16,100108,501,20,111,2026-08-26,16,,82
100108017-17,100108,501,26,120,2026-08-27,17,,39
100108018-18,100108,501,28,108,2026-08-28,18,,35
100108019-19,100108,501,25,115,2026-08-29,19,,33
100108020-20,100108,501,28,114,2026-08-30,20,,61
100108021-21,100108,501,16,109,2026-08-31,21,,25
100108022-22,100108,501,20,117,2026-09-01,22,,45
100108023-23,100108,501,25,116,2026-09-02,23,,35
100108024-24,100108,501,29,104,2026-09-03,24,,23
100108025-25,100108,501,10,118,2026-09-04,25,,2
100108026-26,100108,501,28,110,2026-09-05,26,,64
100108027-27,100108,501,23,111,2026-09-06,27,,86
100108028-28,100108,501,18,104,2026-09-07,28,,31
100108029-29,100108,501,15,109,2026-09-08,29,,78
100108030-30,100108,501,10,104,2026-09-09,30,,55
100109001-1,100109,501,28,116,2026-08-11,1,,14
100109002-2,100109,501,10,119,2026-08-12,2,,87
100109003-3,100109,501,19,113,2026-08-13,3,,56
100109004-4,100109,501,22,103,2026-08-14,4,,93
100109005-5,100109,501,24,118,2026-08-15,5,,85
100109006-6,100109,501,17,108,2026-08-16,6,,68
100109007-7,100109,501,14,113,2026-08-17,7,,100
100109008-8,100109,501,20,109,2026-08-18,8,,20
100109009-9,100109,501,24,114,2026-08-19,9,,1
100109010-10,100109,501,26,119,2026-08-20,10,,38
100109011-11,100109,501,23,118,2026-08-21,11,,30
100109012-12,100109,501,28,119,2026-08-22,12,,37
100109013-13,100109,501,26,114,2026-08-23,13,,36
100109014-14,100109,501,21,118,2026-08-24,14,,3
100109015-15,100109,501,14,106,2026-08-25,15,,37
100109016-16,100109,501,10,104,2026-08-26,16,,8
100109017-17,100109,501,12,101,2026-08-27,17,,81
100109018-18,100109,501,27,111,2026-08-28,18,,91
100109019-19,100109,501,27,116,2026-08-29,19,,64
100109020-20,100109,501,14,113,2026-08-30,20,,77
100109021-21,100109,501,21,119,2026-08-31,21,,97
100109022-22,100109,501,25,110,2026-09-01,22,,80
100109023-23,100109,501,16,117,2026-09-02,23,,49
100109024-24,100109,501,27,116,2026-09-03,24,,60
100109025-25,100109,501,22,117,2026-09-04,25,,27
100109026-26,100109,501,10,120,2026-09-05,26,,45
100109027-27,100109,501,17,110,2026-09-06,27,,42
100109028-28,100109,501,21,111,2026-09-07,28,,66
100109029-29,100109,501,22,104,2026-09-08,29,,58
100109030-30,100109,501,28,101,2026-09-09,30,,99
100110001-1,100110,501,12,101,2026-08-11,1,,40
100110002-2,100110,501,18,110,2026-08-12,2,,17
100110003-3,100110,501,11,116,2026-08-13,3,,99
100110004-4,100110,501,19,106,2026-08-14,4,,52
100110005-5,100110,501,20,114,2026-08-15,5,,22
100110006-6,100110,501,11,109,2026-08-16,6,,2
100110007-7,100110,501,12,112,2026-08-17,7,,13
100110008-8,100110,501,11,107,2026-08-18,8,,59
100110009-9,100110,501,17,114,2026-08-19,9,,56
100110010-10,100110,501,16,120,2026-08-20,10,,79
100110011-11,100110,501,23,113,2026-08-21,11,,93
100110012-12,100110,501,17,104,2026-08-22,12,,57
100110013-13,100110,501,25,108,2026-08-23,13,,96
100110014-14,100110,501,21,118,2026-08-24,14,,8
100110015-15,100110,501,11,120,2026-08-25,15,,9
100110016-16,100110,501,13,112,2026-08-26,16,,85
100110017-17,100110,501,16,108,2026-08-27,17,,2
100110018-18,100110,501,11,118,2026-08-28,18,,38
100110019-19,100110,501,22,107,2026-08-29,19,,62
100110020-20,100110,501,26,117,2026-08-30,20,,88
100110021-21,100110,501,27,118,2026-08-31,21,,16
100110022-22,100110,501,21,108,2026-09-01,22,,68
100110023-23,100110,501,29,106,2026-09-02,23,,46
100110024-24,100110,501,15,106,2026-09-03,24,,38
100110025-25,100110,501,11,112,2026-09-04,25,,43
100110026-26,100110,501,22,114,2026-09-05,26,,19
100110027-27,100110,501,19,108,2026-09-06,27,,82
100110028-28,100110,501,23,114,2026-09-07,28,,15
100110029-29,100110,501,11,118,2026-09-08,29,,11
100110030-30,100110,501,10,116,2026-09-09,30,,57
100301001-1,100301,503,13,104,2026-08-11,1,,100
100301002-2,100301,503,13,108,2026-08-12,2,,33
100301003-3,100301,503,22,108,2026-08-13,3,,48
100301004-4,100301,503,12,102,2026-08-14,4,,95
100301005-5,100301,503,22,110,2026-08-15,5,,77
100301006-6,100301,503,27,120,2026-08-16,6,,94
100301007-7,100301,503,13,111,2026-08-17,7,,44
100301008-8,100301,503,16,110,2026-08-18,8,,62
100301009-9,100301,503,13,106,2026-08-19,9,,40
100301010-10,100301,503,12,115,2026-08-20,10,,6
100301011-11,100301,503,29,113,2026-08-21,11,,16
100301012-12,100301,503,19,101,2026-08-22,12,,65
100301013-13,100301,503,22,112,2026-08-23,13,,51
100301014-14,100301,503,17,109,2026-08-24,14,,93
100301015-15,100301,503,10,106,2026-08-25,15,,98
100301016-16,100301,503,23,102,2026-08-26,16,,49
100301017-17,100301,503,15,120,2026-08-27,17,,53
100301018-18,100301,503,11,110,2026-08-28,18,,6
100301019-19,100301,503,24,117,2026-08-29,19,,89
100301020-20,100301,503,11,108,2026-08-30,20,,15
100301021-21,100301,503,13,107,2026-08-31,21,,48
100301022-22,100301,503,15,111,2026-09-01,22,,96
100301023-23,100301,503,19,111,2026-09-02,23,,74
100301024-24,100301,503,24,110,2026-09-03,24,,88
100301025-25,100301,503,24,110,2026-09-04,25,,31
100301026-26,100301,503,19,106,2026-09-05,26,,57
100301027-27,100301,503,20,119,2026-09-06,27,,3
100301028-28,100301,503,29,113,2026-09-07,28,,71
100301029-29,100301,503,10,120,2026-09-08,29,,10
100301030-30,100301,503,20,112,2026-09-09,30,,75
100302001-1,100302,503,26,114,2026-08-11,1,,71
100302002-2,100302,503,18,115,2026-08-12,2,,85
100302003-3,100302,503,23,101,2026-08-13,3,,58
100302004-4,100302,503,12,102,2026-08-14,4,,21
100302005-5,100302,503,12,119,2026-08-15,5,,100
100302006-6,100302,503,23,107,2026-08-16,6,,92
100302007-7,100302,503,12,105,2026-08-17,7,,62
100302008-8,100302,503,11,101,2026-08-18,8,,47
100302009-9,100302,503,19,101,2026-08-19,9,,34
100302010-10,100302,503,14,118,2026-08-20,10,,50
100302011-11,100302,503,15,103,2026-08-21,11,,71
100302012-12,100302,503,12,106,2026-08-22,12,,65
100302013-13,100302,503,25,118,2026-08-23,13,,83
100302014-14,100302,503,14,117,2026-08-24,14,,67
100302015-15,100302,503,17,112,2026-08-25,15,,79
100302016-16,100302,503,21,114,2026-08-26,16,,40
100302017-17,100302,503,10,107,2026-08-27,17,,32
100302018-18,100302,503,24,101,2026-08-28,18,,29
100302019-19,100302,503,12,101,2026-08-29,19,,5
100302020-20,100302,503,22,120,2026-08-30,20,,19
100302021-21,100302,503,15,119,2026-08-31,21,,69
100302022-22,100302,503,15,103,2026-09-01,22,,54
100302023-23,100302,503,13,120,2026-09-02,23,,25
100302024-24,100302,503,19,111,2026-09-03,24,,17
100302025-25,100302,503,11,111,2026-09-04,25,,13
100302026-26,100302,503,17,103,2026-09-05,26,,43
100302027-27,100302,503,28,115,2026-09-06,27,,71
100302028-28,100302,503,15,105,2026-09-07,28,,13
100302029-29,100302,503,20,110,2026-09-08,29,,55
100302030-30,100302,503,25,118,2026-09-09,30,,34
100303001-1,100303,503,13,116,2026-08-11,1,,81
100303002-2,100303,503,10,116,2026-08-12,2,,1
100303003-3,100303,503,23,104,2026-08-13,3,,96
100303004-4,100303,503,14,112,2026-08-14,4,,13
100303005-5,100303,503,24,119,2026-08-15,5,,98
100303006-6,100303,503,10,115,2026-08-16,6,,53
100303007-7,100303,503,12,116,2026-08-17,7,,91
100303008-8,100303,503,28,116,2026-08-18,8,,66
100303009-9,100303,503,17,118,2026-08-19,9,,3
100303010-10,100303,503,17,107,2026-08-20,10,,21
100303011-11,100303,503,15,116,2026-08-21,11,,89
100303012-12,100303,503,19,110,2026-08-22,12,,9
100303013-13,100303,503,13,109,2026-08-23,13,,21
100303014-14,100303,503,24,116,2026-08-24,14,,24
100303015-15,100303,503,26,104,2026-08-25,15,,2
100303016-16,100303,503,17,117,2026-08-26,16,,26
100303017-17,100303,503,24,112,2026-08-27,17,,72
100303018-18,100303,503,22,108,2026-08-28,18,,18
100303019-19,100303,503,20,109,2026-08-29,19,,53
100303020-20,100303,503,23,119,2026-08-30,20,,17
100303021-21,100303,503,10,109,2026-08-31,21,,17
100303022-22,100303,503,14,111,2026-09-01,22,,91
100303023-23,100303,503,17,102,2026-09-02,23,,6
100303024-24,100303,503,27,101,2026-09-03,24,,72
100303025-25,100303,503,25,120,2026-09-04,25,,4
100303026-26,100303,503,26,110,2026-09-05,26,,14
100303027-27,100303,503,20,102,2026-09-06,27,,92
100303028-28,100303,503,24,118,2026-09-07,28,,79
100303029-29,100303,503,10,111,2026-09-08,29,,42
100303030-30,100303,503,22,120,2026-09-09,30,,83
100304001-1,100304,503,28,102,2026-08-11,1,,30
100304002-2,100304,503,19,110,2026-08-12,2,,61
100304003-3,100304,503,25,108,2026-08-13,3,,42
100304004-4,100304,503,15,119,2026-08-14,4,,73
100304005-5,100304,503,21,109,2026-08-15,5,,87
100304006-6,100304,503,20,118,2026-08-16,6,,54
100304007-7,100304,503,25,115,2026-08-17,7,,42
100304008-8,100304,503,12,116,2026-08-18,8,,36
100304009-9,100304,503,25,117,2026-08-19,9,,31
100304010-10,100304,503,25,104,2026-08-20,10,,61
100304011-11,100304,503,10,112,2026-08-21,11,,56
100304012-12,100304,503,17,111,2026-08-22,12,,58
100304013-13,100304,503,23,104,2026-08-23,13,,87
100304014-14,100304,503,29,116,2026-08-24,14,,68
100304015-15,100304,503,24,112,2026-08-25,15,,49
100304016-16,100304,503,24,115,2026-08-26,16,,69
100304017-17,100304,503,14,110,2026-08-27,17,,28
100304018-18,100304,503,23,119,2026-08-28,18,,22
100304019-19,100304,503,29,102,2026-08-29,19,,8
100304020-20,100304,503,26,106,2026-08-30,20,,62
100304021-21,100304,503,22,108,2026-08-31,21,,89
100304022-22,100304,503,18,107,2026-09-01,22,,77
100304023-23,100304,503,17,102,2026-09-02,23,,1
100304024-24,100304,503,16,106,2026-09-03,24,,19
100304025-25,100304,503,22,113,2026-09-04,25,,43
100304026-26,100304,503,21,106,2026-09-05,26,,30
100304027-27,100304,503,16,103,2026-09-06,27,,25
100304028-28,100304,503,10,106,2026-09-07,28,,66
100304029-29,100304,503,27,116,2026-09-08,29,,61
100304030-30,100304,503,12,101,2026-09-09,30,,58
100305001-1,100305,503,29,119,2026-08-11,1,,81
100305002-2,100305,503,24,113,2026-08-12,2,,53
100305003-3,100305,503,15,101,2026-08-13,3,,73
100305004-4,100305,503,25,106,2026-08-14,4,,32
100305005-5,100305,503,15,117,2026-08-15,5,,21
100305006-6,100305,503,20,111,2026-08-16,6,,4
100305007-7,100305,503,16,119,2026-08-17,7,,73
100305008-8,100305,503,20,105,2026-08-18,8,,73
100305009-9,100305,503,24,105,2026-08-19,9,,20
100305010-10,100305,503,15,103,2026-08-20,10,,15
100305011-11,100305,503,29,113,2026-08-21,11,,94
100305012-12,100305,503,27,113,2026-08-22,12,,15
100305013-13,100305,503,19,102,2026-08-23,13,,88
100305014-14,100305,503,21,101,2026-08-24,14,,45
100305015-15,100305,503,26,102,2026-08-25,15,,100
100305016-16,100305,503,11,104,2026-08-26,16,,33
100305017-17,100305,503,23,114,2026-08-27,17,,2
100305018-18,100305,503,13,111,2026-08-28,18,,66
100305019-19,100305,503,12,102,2026-08-29,19,,10
100305020-20,100305,503,28,101,2026-08-30,20,,38
100305021-21,100305,503,14,102,2026-08-31,21,,56
100305022-22,100305,503,19,104,2026-09-01,22,,55
100305023-23,100305,503,23,115,2026-09-02,23,,87
100305024-24,100305,503,18,105,2026-09-03,24,,17
100305025-25,100305,503,20,120,2026-09-04,25,,15
100305026-26,100305,503,25,115,2026-09-05,26,,45
100305027-27,100305,503,25,120,2026-09-06,27,,94
100305028-28,100305,503,29,112,2026-09-07,28,,24
100305029-29,100305,503,23,116,2026-09-08,29,,19
100305030-30,100305,503,26,106,2026-09-09,30,,6
100306001-1,100306,503,28,113,2026-08-11,1,,65
100306002-2,100306,503,19,111,2026-08-12,2,,64
100306003-3,100306,503,26,117,2026-08-13,3,,56
100306004-4,100306,503,28,102,2026-08-14,4,,92
100306005-5,100306,503,14,105,2026-08-15,5,,92
100306006-6,100306,503,21,110,2026-08-16,6,,67
100306007-7,100306,503,14,116,2026-08-17,7,,57
100306008-8,100306,503,28,108,2026-08-18,8,,66
100306009-9,100306,503,11,116,2026-08-19,9,,7
100306010-10,100306,503,26,114,2026-08-20,10,,68
100306011-11,100306,503,19,109,2026-08-21,11,,61
100306012-12,100306,503,15,112,2026-08-22,12,,58
100306013-13,100306,503,22,112,2026-08-23,13,,41
100306014-14,100306,503,11,115,2026-08-24,14,,59
100306015-15,100306,503,24,111,2026-08-25,15,,12
100306016-16,100306,503,29,109,2026-08-26,16,,74
100306017-17,100306,503,15,103,2026-08-27,17,,35
100306018-18,100306,503,24,112,2026-08-28,18,,26
100306019-19,100306,503,21,115,2026-08-29,19,,29
100306020-20,100306,503,10,102,2026-08-30,20,,36
100306021-21,100306,503,29,104,2026-08-31,21,,3
100306022-22,100306,503,21,110,2026-09-01,22,,78
100306023-23,100306,503,26,117,2026-09-02,23,,58
100306024-24,100306,503,11,113,2026-09-03,24,,28
100306025-25,100306,503,11,107,2026-09-04,25,,87
100306026-26,100306,503,18,104,2026-09-05,26,,87
100306027-27,100306,503,17,107,2026-09-06,27,,84
100306028-28,100306,503,23,109,2026-09-07,28,,28
100306029-29,100306,503,11,120,2026-09-08,29,,78
100306030-30,100306,503,26,113,2026-09-09,30,,9
100307001-1,100307,503,13,107,2026-08-11,1,,9
100307002-2,100307,503,20,104,2026-08-12,2,,8
100307003-3,100307,503,27,115,2026-08-13,3,,36
100307004-4,100307,503,14,114,2026-08-14,4,,74
100307005-5,100307,503,18,111,2026-08-15,5,,41
100307006-6,100307,503,13,107,2026-08-16,6,,30
100307007-7,100307,503,29,104,2026-08-17,7,,65
100307008-8,100307,503,22,110,2026-08-18,8,,9
100307009-9,100307,503,16,109,2026-08-19,9,,43
100307010-10,100307,503,20,108,2026-08-20,10,,10
100307011-11,100307,503,18,112,2026-08-21,11,,94
100307012-12,100307,503,23,114,2026-08-22,12,,83
100307013-13,100307,503,19,105,2026-08-23,13,,71
100307014-14,100307,503,19,119,2026-08-24,14,,8
100307015-15,100307,503,12,106,2026-08-25,15,,84
100307016-16,100307,503,16,114,2026-08-26,16,,40
100307017-17,100307,503,20,116,2026-08-27,17,,2
100307018-18,100307,503,15,104,2026-08-28,18,,9
100307019-19,100307,503,11,117,2026-08-29,19,,24
100307020-20,100307,503,10,101,2026-08-30,20,,72
100307021-21,100307,503,23,105,2026-08-31,21,,89
100307022-22,100307,503,19,118,2026-09-01,22,,55
100307023-23,100307,503,20,111,2026-09-02,23,,54
100307024-24,100307,503,25,101,2026-09-03,24,,9
100307025-25,100307,503,27,120,2026-09-04,25,,70
100307026-26,100307,503,23,107,2026-09-05,26,,25
100307027-27,100307,503,12,116,2026-09-06,27,,62
100307028-28,100307,503,21,114,2026-09-07,28,,56
100307029-29,100307,503,27,119,2026-09-08,29,,88
100307030-30,100307,503,16,108,2026-09-09,30,,38
100308001-1,100308,503,28,113,2026-08-11,1,,78
100308002-2,100308,503,16,116,2026-08-12,2,,37
100308003-3,100308,503,10,119,2026-08-13,3,,1
100308004-4,100308,503,12,102,2026-08-14,4,,77
