SAP_Journal_document_nbr,SAP_Journal_credit_store,SAP_Journal_debit_store,SAP_journal_date,Transaction_Date,SAP_Journal_amount,SAP_Journal_credit_amt,SAP_Journal_debit_amt,SAP_journal_credit_account,SAP_journal_debit_amount,Transaction_Timestamp
aef6b36b5aba495c877e,102,501,2026-09-08,2026-09-08,961.52,961.52,961.52,,,2026-09-11 22:29:06
7ac9b686b820421098e6,106,501,2026-09-09,2026-09-09,367.27,367.27,367.27,,,2026-09-11 22:29:06
8fb94daedd0e4f14b002,109,501,2026-08-11,2026-08-11,1683.85,1683.85,1683.85,,,2026-09-11 22:29:06
540843685b5a444d90e7,118,501,2026-08-12,2026-08-12,3032.34,3032.34,3032.34,,,2026-09-11 22:29:06
2e01f388c8e94c1cbc8b,111,501,2026-08-13,2026-08-13,5836.46,5836.46,5836.46,,,2026-09-11 22:29:06
209807c72a074c31a563,114,501,2026-08-14,2026-08-14,321.66,321.66,321.66,,,2026-09-11 22:29:06
166517fcbf3d4d72bb95,117,501,2026-08-15,2026-08-15,1107.96,1107.96,1107.96,,,2026-09-11 22:29:06
0404bfd694c040679ad6,114,501,2026-08-16,2026-08-16,1451.44,1451.44,1451.44,,,2026-09-11 22:29:06
30adf51561254fb39eba,107,501,2026-08-17,2026-08-17,6832.32,6832.32,6832.32,,,2026-09-11 22:29:06
dde6c1f9bd984b23a05b,112,501,2026-08-18,2026-08-18,330.13,330.13,330.13,,,2026-09-11 22:29:06
4c63a2f551334330b564,111,501,2026-08-19,2026-08-19,4157.83,4157.83,4157.83,,,2026-09-11 22:29:06
1d35b140a5394c129988,108,501,2026-08-20,2026-08-20,961.05,961.05,961.05,,,2026-09-11 22:29:06
27802632fc4e490db283,116,501,2026-08-21,2026-08-21,630.03,630.03,630.03,,,2026-09-11 22:29:06
aa3d98a4489e40139c50,117,501,2026-08-22,2026-08-22,865.11,865.11,865.11,,,2026-09-11 22:29:06
bb1c6b5d34634acbbceb,113,501,2026-08-23,2026-08-23,1104.06,1104.06,1104.06,,,2026-09-11 22:29:06
69643b77af9c48f887eb,102,501,2026-08-24,2026-08-24,151.91,151.91,151.91,,,2026-09-11 22:29:06
84f1101246a44c9b958f,109,501,2026-08-25,2026-08-25,1349.68,1349.68,1349.68,,,2026-09-11 22:29:06
642941bef43b42c4832b,103,501,2026-08-26,2026-08-26,2829.94,2829.94,2829.94,,,2026-09-11 22:29:06
041085854021433c8d1a,120,501,2026-08-27,2026-08-27,1891.83,1891.83,1891.83,,,2026-09-11 22:29:06
e52ad6c248424be287bd,114,501,2026-08-28,2026-08-28,2918.35,2918.35,2918.35,,,2026-09-11 22:29:06
d50b5a08c2df4b509f0f,106,501,2026-08-29,2026-08-29,1194.54,1194.54,1194.54,,,2026-09-11 22:29:06
82acf99c7cf44d22b86e,117,501,2026-08-30,2026-08-30,1305.84,1305.84,1305.84,,,2026-09-11 22:29:06
86956ffc337542878ed7,112,501,2026-08-31,2026-08-31,132.1,132.1,132.1,,,2026-09-11 22:29:06
b2e88f3e781043b899e7,108,501,2026-09-01,2026-09-01,192.43,192.43,192.43,,,2026-09-11 22:29:06
7cb2731fd8ab490c9b5a,102,501,2026-09-02,2026-09-02,3578.44,3578.44,3578.44,,,2026-09-11 22:29:06
e2a4c36b1ef1480ba00f,101,501,2026-09-03,2026-09-03,255.56,255.56,255.56,,,2026-09-11 22:29:06
c9fb4952d95e4de49878,119,501,2026-09-04,2026-09-04,1087.49,1087.49,1087.49,,,2026-09-11 22:29:06
a3afad26febc4ca68eeb,120,501,2026-09-05,2026-09-05,1066.97,1066.97,1066.97,,,2026-09-11 22:29:06
da508fccac0448889fc5,103,501,2026-09-06,2026-09-06,4605.74,4605.74,4605.74,,,2026-09-11 22:29:06
02052d6be2e14bd09fc7,104,501,2026-09-07,2026-09-07,292.48,292.48,292.48,,,2026-09-11 22:29:06
90dcc345a9dc4bcc99d5,119,501,2026-09-08,2026-09-08,2475.74,2475.74,2475.74,,,2026-09-11 22:29:06
bd829a246e4a4cb489fb,111,501,2026-09-09,2026-09-09,2796.58,2796.58,2796.58,,,2026-09-11 22:29:06
6477bccf50314dedb57b,115,501,2026-08-11,2026-08-11,1849.07,1849.07,1849.07,,,2026-09-11 22:29:06
cf6dd207336a4aa1a019,108,501,2026-08-12,2026-08-12,915.43,915.43,915.43,,,2026-09-11 22:29:06
c174a1e50a7441979c78,118,501,2026-08-13,2026-08-13,2359.91,2359.91,2359.91,,,2026-09-11 22:29:06
9883e22439d64b3c8cb2,110,501,2026-08-14,2026-08-14,939.71,939.71,939.71,,,2026-09-11 22:29:06
ab038102c5344cbdb979,102,501,2026-08-15,2026-08-15,7129.27,7129.27,7129.27,,,2026-09-11 22:29:06
89421abdf2a9434b88a2,112,501,2026-08-16,2026-08-16,470.18,470.18,470.18,,,2026-09-11 22:29:06
5ee6ceda06d148aebefe,119,501,2026-08-17,2026-08-17,717.53,717.53,717.53,,,2026-09-11 22:29:06
11c7819c532d411fbf85,101,501,2026-08-18,2026-08-18,5639.28,5639.28,5639.28,,,2026-09-11 22:29:06
e335bffa053244e9b280,113,501,2026-08-19,2026-08-19,2700.24,2700.24,2700.24,,,2026-09-11 22:29:06
f8de41e708f145ee8099,118,501,2026-08-20,2026-08-20,1974.28,1974.28,1974.28,,,2026-09-11 22:29:06
71d0c8bfba6340829816,119,501,2026-08-21,2026-08-21,442.71,442.71,442.71,,,2026-09-11 22:29:06
5191454c1fee49f29cc7,108,501,2026-08-22,2026-08-22,104.25,104.25,104.25,,,2026-09-11 22:29:06
8a8819c03d86492ca556,102,501,2026-08-23,2026-08-23,38.89,38.89,38.89,,,2026-09-11 22:29:06
43904aa4dc8643ca880e,108,501,2026-08-24,2026-08-24,302.77,302.77,302.77,,,2026-09-11 22:29:06
7abbcb89ccb94df1a4a3,115,501,2026-08-25,2026-08-25,3169.13,3169.13,3169.13,,,2026-09-11 22:29:06
6e882e2997034fbc8345,115,501,2026-08-26,2026-08-26,949.31,949.31,949.31,,,2026-09-11 22:29:06
9ae8f28d17414d11a123,105,501,2026-08-27,2026-08-27,3689.77,3689.77,3689.77,,,2026-09-11 22:29:06
fda75cf56b6a40d8b28d,108,501,2026-08-28,2026-08-28,3218.25,3218.25,3218.25,,,2026-09-11 22:29:06
517c3af928944723ab83,119,501,2026-08-29,2026-08-29,5424.77,5424.77,5424.77,,,2026-09-11 22:29:06
6a10980e541e4273b910,111,501,2026-08-30,2026-08-30,229,229,229,,,2026-09-11 22:29:06
b7fe810b2a7d45d68c2b,109,501,2026-08-31,2026-08-31,2940.91,2940.91,2940.91,,,2026-09-11 22:29:06
be2941b2b08a403f9644,109,501,2026-09-01,2026-09-01,630.62,630.62,630.62,,,2026-09-11 22:29:06
a7dcd632b4eb468aa1ca,113,501,2026-09-02,2026-09-02,3144.92,3144.92,3144.92,,,2026-09-11 22:29:06
24a2b6218899484f828a,107,501,2026-09-03,2026-09-03,2335.18,2335.18,2335.18,,,2026-09-11 22:29:06
354c5572097c4bbb8899,110,501,2026-09-04,2026-09-04,136.81,136.81,136.81,,,2026-09-11 22:29:06
3c1ecf3e73da450dbd63,103,501,2026-09-05,2026-09-05,522.05,522.05,522.05,,,2026-09-11 22:29:06
41cbd583164e4b84a400,109,501,2026-09-06,2026-09-06,2544.48,2544.48,2544.48,,,2026-09-11 22:29:06
df0ac96c512e4d05a7c5,112,501,2026-09-07,2026-09-07,1397.01,1397.01,1397.01,,,2026-09-11 22:29:06
af603adb05654867b7b2,120,501,2026-09-08,2026-09-08,1658.31,1658.31,1658.31,,,2026-09-11 22:29:06
519eb84107cf4535aa6d,105,501,2026-09-09,2026-09-09,6307.77,6307.77,6307.77,,,2026-09-11 22:29:06
6fb1a3a84c484e97b405,101,501,2026-08-11,2026-08-11,4639.37,4639.37,4639.37,,,2026-09-11 22:29:06
30a4ef57fa6a4a478790,117,501,2026-08-12,2026-08-12,3493.39,3493.39,3493.39,,,2026-09-11 22:29:06
20785ddc3e40418c939f,117,501,2026-08-13,2026-08-13,4550.99,4550.99,4550.99,,,2026-09-11 22:29:06
d2a181ca6ac34168804e,105,501,2026-08-14,2026-08-14,5312.89,5312.89,5312.89,,,2026-09-11 22:29:06
524ff40913db48c3a55a,104,501,2026-08-15,2026-08-15,123.01,123.01,123.01,,,2026-09-11 22:29:06
dfb2b37e4e244c0bb1c3,114,501,2026-08-16,2026-08-16,4565.76,4565.76,4565.76,,,2026-09-11 22:29:06
aa6489e1a54b4f979fda,108,501,2026-08-17,2026-08-17,1703.07,1703.07,1703.07,,,2026-09-11 22:29:06
954fa30832bc4468bcc6,115,501,2026-08-18,2026-08-18,2231.13,2231.13,2231.13,,,2026-09-11 22:29:06
e728cf5e98a541cfa97c,106,501,2026-08-19,2026-08-19,1334.39,1334.39,1334.39,,,2026-09-11 22:29:06
eeae6ea755e64f0a9b95,114,501,2026-08-20,2026-08-20,3922.09,3922.09,3922.09,,,2026-09-11 22:29:06
90543b96022e4726a2c2,107,501,2026-08-21,2026-08-21,542.37,542.37,542.37,,,2026-09-11 22:29:06
d02909e204c14007b711,117,501,2026-08-22,2026-08-22,462.7,462.7,462.7,,,2026-09-11 22:29:06
5b4bd4c6ee9042b08dfc,112,501,2026-08-23,2026-08-23,2405.85,2405.85,2405.85,,,2026-09-11 22:29:06
cd7d82e81204426cbb32,103,501,2026-08-24,2026-08-24,1998.61,1998.61,1998.61,,,2026-09-11 22:29:06
7f7a33c6b0ac4ceea30c,101,501,2026-08-25,2026-08-25,1325,1325,1325,,,2026-09-11 22:29:06
a522e27d303e4e59ac66,110,501,2026-08-26,2026-08-26,5388.53,5388.53,5388.53,,,2026-09-11 22:29:06
91ce3252fcc3493d976d,101,501,2026-08-27,2026-08-27,2529.92,2529.92,2529.92,,,2026-09-11 22:29:06
d8d67f492e3e40e2a83f,103,501,2026-08-28,2026-08-28,140.58,140.58,140.58,,,2026-09-11 22:29:06
5b586642ce6a4536a538,108,501,2026-08-29,2026-08-29,795.67,795.67,795.67,,,2026-09-11 22:29:06
0703050458aa4a69ac70,101,501,2026-08-30,2026-08-30,2189.45,2189.45,2189.45,,,2026-09-11 22:29:06
fee13c7694fa4a3489f7,110,501,2026-08-31,2026-08-31,702.38,702.38,702.38,,,2026-09-11 22:29:06
d807938c9d374753b6d8,109,501,2026-09-01,2026-09-01,4324.34,4324.34,4324.34,,,2026-09-11 22:29:06
22f518354c764509bdb9,118,501,2026-09-02,2026-09-02,382.13,382.13,382.13,,,2026-09-11 22:29:06
7fa465b9a6d14b91bddc,120,501,2026-09-03,2026-09-03,2061.44,2061.44,2061.44,,,2026-09-11 22:29:06
27e9fa1d8a4c485a9181,115,501,2026-09-04,2026-09-04,2549.02,2549.02,2549.02,,,2026-09-11 22:29:06
2e4bfc6ec4a54aa5a5a2,117,501,2026-09-05,2026-09-05,5310.34,5310.34,5310.34,,,2026-09-11 22:29:06
7f360b6bd2634f00a493,114,501,2026-09-06,2026-09-06,1340.94,1340.94,1340.94,,,2026-09-11 22:29:06
73606706519649aa8428,107,501,2026-09-07,2026-09-07,917.42,917.42,917.42,,,2026-09-11 22:29:06
483d87427b564432b0df,115,501,2026-09-08,2026-09-08,235.35,235.35,235.35,,,2026-09-11 22:29:06
fc44dfac6e534b30b620,107,501,2026-09-09,2026-09-09,6226.81,6226.81,6226.81,,,2026-09-11 22:29:06
397d4862ef2d47638be1,118,501,2026-08-11,2026-08-11,940.82,940.82,940.82,,,2026-09-11 22:29:06
ac804016695044429d31,117,501,2026-08-12,2026-08-12,274.7,274.7,274.7,,,2026-09-11 22:29:06
91fc4cfb88e54e3895b9,118,501,2026-08-13,2026-08-13,2338.98,2338.98,2338.98,,,2026-09-11 22:29:06
65bfacd67e5247b4b6a3,101,501,2026-08-14,2026-08-14,4692.22,4692.22,4692.22,,,2026-09-11 22:29:06
c3e730504f984e44ba11,119,501,2026-08-15,2026-08-15,1475.96,1475.96,1475.96,,,2026-09-11 22:29:06
27bbc7514a814e7c9f91,111,501,2026-08-16,2026-08-16,1531.6,1531.6,1531.6,,,2026-09-11 22:29:06
9f19ebcabf0149f9aa20,114,501,2026-08-17,2026-08-17,252.19,252.19,252.19,,,2026-09-11 22:29:06
b9a472757f7f4ae9a128,115,501,2026-08-18,2026-08-18,888.24,888.24,888.24,,,2026-09-11 22:29:06
766ea257b9da44529b40,117,501,2026-08-19,2026-08-19,2830.83,2830.83,2830.83,,,2026-09-11 22:29:06
39f4e1d0d01943b39d58,111,501,2026-08-20,2026-08-20,57.06,57.06,57.06,,,2026-09-11 22:29:06
292a1938d8b74f9c9693,119,501,2026-08-21,2026-08-21,2612.21,2612.21,2612.21,,,2026-09-11 22:29:06
d37d1da8cdb54fe39e23,106,501,2026-08-22,2026-08-22,2206.75,2206.75,2206.75,,,2026-09-11 22:29:06
b943e402b9be43d1b5e2,109,501,2026-08-23,2026-08-23,928.13,928.13,928.13,,,2026-09-11 22:29:06
3ad8adf2cf80439eb73d,110,501,2026-08-24,2026-08-24,3201.51,3201.51,3201.51,,,2026-09-11 22:29:06
34b5f5e8c40040c6a515,105,501,2026-08-25,2026-08-25,4746.75,4746.75,4746.75,,,2026-09-11 22:29:06
66c58ec68bb141f9aa76,115,501,2026-08-26,2026-08-26,1941.31,1941.31,1941.31,,,2026-09-11 22:29:06
4094ccb4e7394c89af6e,101,501,2026-08-27,2026-08-27,601.91,601.91,601.91,,,2026-09-11 22:29:06
af4ef91b735b434f936c,119,501,2026-08-28,2026-08-28,104.36,104.36,104.36,,,2026-09-11 22:29:06
fdc7667f3c004b1cbf57,108,501,2026-08-29,2026-08-29,1153.64,1153.64,1153.64,,,2026-09-11 22:29:06
3fd6eb28ef14450a9982,110,501,2026-08-30,2026-08-30,6994.69,6994.69,6994.69,,,2026-09-11 22:29:06
7794ef1989c44fcca1ce,117,501,2026-08-31,2026-08-31,4030.93,4030.93,4030.93,,,2026-09-11 22:29:06
59261de7efc5491d9c81,109,501,2026-09-01,2026-09-01,4045.3,4045.3,4045.3,,,2026-09-11 22:29:06
2e5aee98b1034d9db72d,106,501,2026-09-02,2026-09-02,510.74,510.74,510.74,,,2026-09-11 22:29:06
67f92c926eab4524b743,119,501,2026-09-03,2026-09-03,1197.09,1197.09,1197.09,,,2026-09-11 22:29:06
ca9c617194cc4d559cd6,115,501,2026-09-04,2026-09-04,662.19,662.19,662.19,,,2026-09-11 22:29:06
061a8b7fc8a340248c18,112,501,2026-09-05,2026-09-05,6176.09,6176.09,6176.09,,,2026-09-11 22:29:06
3b35aae0c0424ce8b8bd,113,501,2026-09-06,2026-09-06,592.59,592.59,592.59,,,2026-09-11 22:29:06
522bea40d0bb4175a104,115,501,2026-09-07,2026-09-07,3652.56,3652.56,3652.56,,,2026-09-11 22:29:06
415f0c1855e64ba2a633,101,501,2026-09-08,2026-09-08,1948.17,1948.17,1948.17,,,2026-09-11 22:29:06
6d96f7269f934047b9b7,109,501,2026-09-09,2026-09-09,4014.2,4014.2,4014.2,,,2026-09-11 22:29:06
7cc62cb3d8fe47a09400,101,501,2026-08-11,2026-08-11,2128.21,2128.21,2128.21,,,2026-09-11 22:29:06
bda4d6a7acf449d692c4,116,501,2026-08-12,2026-08-12,6602.01,6602.01,6602.01,,,2026-09-11 22:29:06
a9d1eaa6bb204286814c,111,501,2026-08-13,2026-08-13,7373.6,7373.6,7373.6,,,2026-09-11 22:29:06
77b4a3d9c6f244318870,114,501,2026-08-14,2026-08-14,1864.14,1864.14,1864.14,,,2026-09-11 22:29:06
ce6b971ec59f4eaab96c,110,501,2026-08-15,2026-08-15,764.11,764.11,764.11,,,2026-09-11 22:29:06
9d54d5a8bce847bdb1af,107,501,2026-08-16,2026-08-16,16.76,16.76,16.76,,,2026-09-11 22:29:06
1de64ac1f085402482fe,105,501,2026-08-17,2026-08-17,4199.12,4199.12,4199.12,,,2026-09-11 22:29:06
cd40bb5460d044c1ac5b,117,501,2026-08-18,2026-08-18,578.37,578.37,578.37,,,2026-09-11 22:29:06
f0d4b1302c6b4f69a925,116,501,2026-08-19,2026-08-19,3427.56,3427.56,3427.56,,,2026-09-11 22:29:06
8213af85a5854b6a8e3d,101,501,2026-08-20,2026-08-20,568.76,568.76,568.76,,,2026-09-11 22:29:06
2dc3ec11d779470c82a7,101,501,2026-08-21,2026-08-21,54.12,54.12,54.12,,,2026-09-11 22:29:06
90d25e8429de4eefbd92,103,501,2026-08-22,2026-08-22,2414.02,2414.02,2414.02,,,2026-09-11 22:29:06
fe8ec07d968a4519aadf,120,501,2026-08-23,2026-08-23,821.09,821.09,821.09,,,2026-09-11 22:29:06
2f8b9178fe9a4046ac04,105,501,2026-08-24,2026-08-24,66.28,66.28,66.28,,,2026-09-11 22:29:06
1341996d87484deebfd2,105,501,2026-08-25,2026-08-25,3256.58,3256.58,3256.58,,,2026-09-11 22:29:06
106cf4d13dc345b1bb9e,117,501,2026-08-26,2026-08-26,1727.68,1727.68,1727.68,,,2026-09-11 22:29:06
c4df89ccf8e74fb1891e,102,501,2026-08-27,2026-08-27,1111.58,1111.58,1111.58,,,2026-09-11 22:29:06
7f1f6a15375d4bfebbad,112,501,2026-08-28,2026-08-28,1357.66,1357.66,1357.66,,,2026-09-11 22:29:06
c66e260542374b418fd2,112,501,2026-08-29,2026-08-29,777.99,777.99,777.99,,,2026-09-11 22:29:06
01fc32cb0f4747279d0c,101,501,2026-08-30,2026-08-30,5820.86,5820.86,5820.86,,,2026-09-11 22:29:06
e873036633ed49a7bfca,104,501,2026-08-31,2026-08-31,91.89,91.89,91.89,,,2026-09-11 22:29:06
56f942c5fe354458a6ff,117,501,2026-09-01,2026-09-01,3194.3,3194.3,3194.3,,,2026-09-11 22:29:06
873010e74943420c9945,108,501,2026-09-02,2026-09-02,176.6,176.6,176.6,,,2026-09-11 22:29:06
3c75c0c4c68b4df9a482,116,501,2026-09-03,2026-09-03,387.84,387.84,387.84,,,2026-09-11 22:29:06
b606787d51ed4c13a6b3,106,501,2026-09-04,2026-09-04,1036.59,1036.59,1036.59,,,2026-09-11 22:29:06
fc3e3031e5b8441b97e1,116,501,2026-09-05,2026-09-05,4613.14,4613.14,4613.14,,,2026-09-11 22:29:06
64bc5076a8da46c48b3f,115,501,2026-09-06,2026-09-06,3139.19,3139.19,3139.19,,,2026-09-11 22:29:06
74c7a99bc65f4792ab2c,108,501,2026-09-07,2026-09-07,7976.22,7976.22,7976.22,,,2026-09-11 22:29:06
ddd4f5e8fb03494dbe36,106,501,2026-09-08,2026-09-08,3348.09,3348.09,3348.09,,,2026-09-11 22:29:06
3784b319c0a04b68af97,102,501,2026-09-09,2026-09-09,148.47,148.47,148.47,,,2026-09-11 22:29:06
bc75928e2f4a4ed68fe9,106,501,2026-08-11,2026-08-11,5881.24,5881.24,5881.24,,,2026-09-11 22:29:06
7e27b08c5db643d18928,101,501,2026-08-12,2026-08-12,5728.36,5728.36,5728.36,,,2026-09-11 22:29:06
a2072b47fe53427a9e45,102,501,2026-08-13,2026-08-13,6832.31,6832.31,6832.31,,,2026-09-11 22:29:06
d7506be2a53c4510beaa,117,501,2026-08-14,2026-08-14,1190.71,1190.71,1190.71,,,2026-09-11 22:29:06
ba59df3b1bad41ab9dff,104,501,2026-08-15,2026-08-15,388.13,388.13,388.13,,,2026-09-11 22:29:06
6151296c51814720a0ca,119,501,2026-08-16,2026-08-16,496.45,496.45,496.45,,,2026-09-11 22:29:06
1c9d81afdcbb49dc8f03,116,501,2026-08-17,2026-08-17,1148.27,1148.27,1148.27,,,2026-09-11 22:29:06
99ae81af463f41e89948,108,501,2026-08-18,2026-08-18,574.52,574.52,574.52,,,2026-09-11 22:29:06
8c50800530014a1b9d9c,118,501,2026-08-19,2026-08-19,339.15,339.15,339.15,,,2026-09-11 22:29:06
2e9af78c6922490a8aa8,103,501,2026-08-20,2026-08-20,994.95,994.95,994.95,,,2026-09-11 22:29:06
039d2dc6b2e848f7b23c,103,501,2026-08-21,2026-08-21,4119.15,4119.15,4119.15,,,2026-09-11 22:29:06
1470c03c785d4f73913e,101,501,2026-08-22,2026-08-22,2814.63,2814.63,2814.63,,,2026-09-11 22:29:06
958786d5c6bb4a4ebadb,120,501,2026-08-23,2026-08-23,2428.15,2428.15,2428.15,,,2026-09-11 22:29:06
a9d1be44515b4f2ea146,111,501,2026-08-24,2026-08-24,1751.27,1751.27,1751.27,,,2026-09-11 22:29:06
